iter	RMSE
0	0.1389460033
1	0.1334389141
2	0.1280731253
3	0.1231051849
4	0.1184617701
5	0.1142320285
6	0.1100794139
7	0.1061121484
8	0.1024770645
9	0.09889437914
10	0.09557255288
11	0.09257054383
12	0.08965596686
13	0.08691005408
14	0.08426863493
15	0.08187434646
16	0.0795945413
17	0.07738313921
18	0.07541630314
19	0.07342991428
20	0.07154369372
21	0.06982512188
22	0.06809281223
23	0.0664640464
24	0.06509699207
25	0.06376485524
26	0.06251322625
27	0.06124421608
28	0.05999937254
29	0.05897414793
30	0.05782905293
31	0.05674320976
32	0.05574187119
33	0.05478301129
34	0.05387736219
35	0.05305627898
36	0.05225419961
37	0.05145584751
38	0.05079343255
39	0.05016464901
40	0.04952541305
41	0.04895572249
42	0.04843317492
43	0.04783775451
44	0.04730982583
45	0.04681478638
46	0.0464227096
47	0.04598734828
48	0.04560447313
49	0.04521267742
50	0.04484419438
51	0.04452090994
52	0.04407107778
53	0.04371525309
54	0.04340424623
55	0.04312058917
56	0.04280480986
57	0.04251418224
58	0.04217364914
59	0.04195677417
60	0.04168495623
61	0.04135486146
62	0.04111120924
63	0.04092818515
64	0.04067271459
65	0.04050319723
66	0.04035746314
67	0.04015792923
68	0.03999550909
69	0.03986020898
70	0.03969687911
71	0.03949133959
72	0.03935731275
73	0.03922211835
74	0.03912067229
75	0.03896640455
76	0.03886936164
77	0.03874413958
78	0.03864480916
79	0.0384954024
80	0.03839241522
81	0.03825967825
82	0.03814825171
83	0.03806386711
84	0.03794170088
85	0.03785675865
86	0.03775715041
87	0.03763023239
88	0.03755350107
89	0.03740710051
90	0.03731004927
91	0.03721537113
92	0.03711940261
93	0.0370441542
94	0.03694428301
95	0.03684663217
96	0.03678851321
97	0.03669708754
98	0.03664726551
99	0.03656980558
100	0.0365139412
101	0.03646537931
102	0.03638660413
103	0.03627634971
104	0.03618051998
105	0.03607575906
106	0.03602064617
107	0.03599062755
108	0.03595750974
109	0.03589472497
110	0.03582888316
111	0.03575200309
112	0.03572022075
113	0.03568136021
114	0.03563687415
115	0.03559063086
116	0.03556000641
117	0.03551053299
118	0.03547125484
119	0.03541894194
120	0.03537731746
121	0.03531140575
122	0.03524327549
123	0.03519998462
124	0.0351409491
125	0.03507494552
126	0.03504213063
127	0.03499325178
128	0.03492421389
129	0.03488402793
130	0.03479939868
131	0.03477129775
132	0.03471382573
133	0.03467194734
134	0.03459112062
135	0.03456162355
136	0.03452416706
137	0.03447872655
138	0.03441838742
139	0.03437729197
140	0.03433396516
141	0.03430571978
142	0.03421941924
143	0.03418000019
144	0.03414998185
145	0.03407085667
146	0.0340078555
147	0.03395738817
148	0.03390566105
149	0.03387259934
150	0.03383815691
151	0.0338170935
152	0.03379523738
153	0.03376363594
154	0.03369534892
155	0.03367382929
156	0.03364411345
157	0.03358978969
158	0.03353918106
159	0.03349549423
160	0.03343801447
161	0.03339589583
162	0.03335992612
163	0.03332926437
164	0.03328937734
165	0.03321162632
166	0.03315810538
167	0.03311245013
168	0.03306727109
169	0.03302427496
170	0.03298522216
171	0.03295346769
172	0.03292901462
173	0.0329020711
174	0.03286331208
175	0.03283187167
176	0.03280663821
177	0.03277806098
178	0.03274187928
179	0.03270991722
180	0.03268861234
181	0.03264546249
182	0.03258648262
183	0.03256320252
184	0.03253617424
185	0.03248727744
186	0.03246938443
187	0.03243866978
188	0.03240731936
189	0.03237731728
190	0.03234973699
191	0.03231359457
192	0.03228271949
193	0.03223860444
194	0.03220876794
195	0.03218148735
196	0.03214044954
197	0.03211671658
198	0.03206685448
199	0.03202629668
200	0.03198495565
201	0.03195734465
202	0.03193069125
203	0.03189748097
204	0.03185669188
205	0.03183194489
206	0.03176858672
207	0.03171752814
208	0.03168684986
209	0.0316672997
210	0.03164684714
211	0.03161103999
212	0.03156122494
213	0.03152247427
214	0.0314876175
215	0.03145792431
216	0.03143118146
217	0.03141919855
218	0.03138011555
219	0.03134901982
220	0.03130539304
221	0.03125538595
222	0.03122719485
223	0.0312052028
224	0.03118029183
225	0.03114727484
226	0.03110946542
227	0.03106804628
228	0.03101102994
229	0.03097497122
230	0.03095380485
231	0.03092018799
232	0.03090157992
233	0.03087324018
234	0.03083393635
235	0.03081435612
236	0.0307973076
237	0.03077564471
238	0.03074914834
239	0.03070740047
240	0.03069087437
241	0.0306747432
242	0.03064702136
243	0.03060760176
244	0.03058599878
245	0.03054508861
246	0.03052028241
247	0.0304651111
248	0.03043594575
249	0.03042538927
250	0.03040576572
251	0.03038795297
252	0.03035918566
253	0.03032517249
254	0.03028543576
255	0.03026492384
256	0.03025026143
257	0.03021474255
258	0.03018094675
259	0.03014784368
260	0.03012834345
261	0.03011091749
262	0.0300886164
263	0.03006129085
264	0.0300395934
265	0.03001291765
266	0.02999437368
267	0.02994348428
268	0.02991644471
269	0.02988809184
270	0.02986924569
271	0.02982572359
272	0.02979154851
273	0.02976153277
274	0.02973403016
275	0.02971639291
276	0.0296858114
277	0.02964594834
278	0.02962100673
279	0.02959553048
280	0.02957921305
281	0.02954186247
282	0.02952348251
283	0.02949568378
284	0.02946228746
285	0.02944343036
286	0.02941465546
287	0.02939312163
288	0.02937705909
289	0.02933531541
290	0.02931688306
291	0.02928338067
292	0.02927130263
293	0.02924557976
294	0.02922087226
295	0.0292018247
296	0.02917096322
297	0.02914966171
298	0.02911935627
299	0.02910809782
